plot,land_type,year,season,stat_land_type,stat_season,crop_id,crop_name,crop_type,area_mu,yield_jin_mu,production_jin,cost_yuan
F3,智慧大棚,2024,第二季,智慧大棚,第二季,34,芹菜,蔬菜,0.6,6000.0,3600.0,720.0
F4,智慧大棚,2024,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
F4,智慧大棚,2024,第二季,智慧大棚,第二季,34,芹菜,蔬菜,0.6,6000.0,3600.0,720.0
A1,平旱地,2025,单季,平旱地,单季,5,爬豆,粮食（豆类）,80.0,415.0,33200.0,28000.0
A2,平旱地,2025,单季,平旱地,单季,4,绿豆,粮食（豆类）,55.0,350.0,19250.0,19250.0
A3,平旱地,2025,单季,平旱地,单季,9,高粱,粮食,35.0,630.0,22050.0,14000.0
A4,平旱地,2025,单季,平旱地,单季,1,黄豆,粮食（豆类）,72.0,400.0,28800.0,28800.0
A5,平旱地,2025,单季,平旱地,单季,4,绿豆,粮食（豆类）,68.0,350.0,23800.0,23800.0
A6,平旱地,2025,单季,平旱地,单季,1,黄豆,粮食（豆类）,55.0,400.0,22000.0,22000.0
B1,梯田,2025,单季,梯田,单季,5,爬豆,粮食（豆类）,60.0,395.0,23700.0,21000.0
B10,梯田,2025,单季,梯田,单季,10,黍子,粮食,25.0,500.0,12500.0,9000.0
B11,梯田,2025,单季,梯田,单季,4,绿豆,粮食（豆类）,60.0,330.0,19800.0,21000.0
B12,梯田,2025,单季,梯田,单季,3,红豆,粮食（豆类）,45.0,380.0,17100.0,15750.0
B13,梯田,2025,单季,梯田,单季,3,红豆,粮食（豆类）,35.0,380.0,13300.0,12250.0
B14,梯田,2025,单季,梯田,单季,3,红豆,粮食（豆类）,20.0,380.0,7600.0,7000.0
B2,梯田,2025,单季,梯田,单季,4,绿豆,粮食（豆类）,46.0,330.0,15180.0,16100.0
B3,梯田,2025,单季,梯田,单季,3,红豆,粮食（豆类）,40.0,380.0,15200.0,14000.0
B4,梯田,2025,单季,梯田,单季,4,绿豆,粮食（豆类）,28.0,330.0,9240.0,9800.0
B5,梯田,2025,单季,梯田,单季,3,红豆,粮食（豆类）,25.0,380.0,9500.0,8750.0
B6,梯田,2025,单季,梯田,单季,4,绿豆,粮食（豆类）,86.0,330.0,28380.0,30100.0
B7,梯田,2025,单季,梯田,单季,3,红豆,粮食（豆类）,55.0,380.0,20900.0,19250.0
B8,梯田,2025,单季,梯田,单季,2,黑豆,粮食（豆类）,44.0,475.0,20900.0,17600.0
B9,梯田,2025,单季,梯田,单季,4,绿豆,粮食（豆类）,50.0,330.0,16500.0,17500.0
C1,山坡地,2025,单季,山坡地,单季,4,绿豆,粮食（豆类）,15.0,315.0,4725.0,5250.0
C2,山坡地,2025,单季,山坡地,单季,12,南瓜,粮食,13.0,2700.0,35100.0,13000.0
C3,山坡地,2025,单季,山坡地,单季,9,高粱,粮食,15.0,570.0,8550.0,6000.0
C4,山坡地,2025,单季,山坡地,单季,13,红薯,粮食,18.0,2000.0,36000.0,36000.0
C5,山坡地,2025,单季,山坡地,单季,3,红豆,粮食（豆类）,27.0,360.0,9720.0,9450.0
C6,山坡地,2025,单季,山坡地,单季,11,荞麦,粮食,20.0,100.0,2000.0,7000.0
D1,水浇地,2025,第一季,水浇地,第一季,18,刀豆,蔬菜（豆类）,15.0,2000.0,30000.0,15000.0
D1,水浇地,2025,第二季,水浇地,第二季,35,大白菜,蔬菜,15.0,5000.0,75000.0,30000.0
D2,水浇地,2025,第一季,水浇地,第一季,18,刀豆,蔬菜（豆类）,10.0,2000.0,20000.0,10000.0
D2,水浇地,2025,第二季,水浇地,第二季,37,红萝卜,蔬菜,10.0,3000.0,30000.0,5000.0
D3,水浇地,2025,第一季,水浇地,第一季,19,芸豆,蔬菜（豆类）,14.0,3000.0,42000.0,28000.0
D3,水浇地,2025,第二季,水浇地,第二季,36,白萝卜,蔬菜,14.0,4000.0,56000.0,7000.0
D4,水浇地,2025,第一季,水浇地,单季,16,水稻,粮食,6.0,500.0,3000.0,4080.0
D5,水浇地,2025,第一季,水浇地,单季,16,水稻,粮食,10.0,500.0,5000.0,6800.0
D6,水浇地,2025,第一季,水浇地,第一季,17,豇豆,蔬菜（豆类）,12.0,3000.0,36000.0,24000.0
D6,水浇地,2025,第二季,水浇地,第二季,35,大白菜,蔬菜,12.0,5000.0,60000.0,24000.0
D7,水浇地,2025,第一季,水浇地,第一季,34,芹菜,蔬菜,22.0,5500.0,121000.0,19800.0
D7,水浇地,2025,第二季,水浇地,第二季,36,白萝卜,蔬菜,22.0,4000.0,88000.0,11000.0
D8,水浇地,2025,第一季,水浇地,单季,16,水稻,粮食,20.0,500.0,10000.0,13600.0
E1,普通大棚,2025,第一季,普通大棚,第一季,29,黄瓜,蔬菜,0.6,15000.0,9000.0,2100.0
E1,普通大棚,2025,第二季,普通大棚,第二季,40,白灵菇,食用菌,0.6,10000.0,6000.0,6000.0
E10,普通大棚,2025,第一季,普通大棚,第一季,19,芸豆,蔬菜（豆类）,0.6,3600.0,2160.0,1440.0
E10,普通大棚,2025,第二季,普通大棚,第二季,41,羊肚菌,食用菌,0.6,1000.0,600.0,6000.0
E11,普通大棚,2025,第一季,普通大棚,第一季,26,包菜,蔬菜,0.6,4500.0,2700.0,2100.0
E11,普通大棚,2025,第二季,普通大棚,第二季,40,白灵菇,食用菌,0.6,10000.0,6000.0,6000.0
E12,普通大棚,2025,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
E12,普通大棚,2025,第二季,普通大棚,第二季,41,羊肚菌,食用菌,0.6,1000.0,600.0,6000.0
E13,普通大棚,2025,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
E13,普通大棚,2025,第二季,普通大棚,第二季,38,榆黄菇,食用菌,0.6,5000.0,3000.0,1800.0
E14,普通大棚,2025,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
E14,普通大棚,2025,第二季,普通大棚,第二季,39,香菇,食用菌,0.6,4000.0,2400.0,1200.0
E15,普通大棚,2025,第一季,普通大棚,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2160.0,1440.0
E15,普通大棚,2025,第二季,普通大棚,第二季,41,羊肚菌,食用菌,0.6,1000.0,600.0,6000.0
E16,普通大棚,2025,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
E16,普通大棚,2025,第二季,普通大棚,第二季,41,羊肚菌,食用菌,0.6,1000.0,600.0,6000.0
E2,普通大棚,2025,第一季,普通大棚,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2160.0,1440.0
E2,普通大棚,2025,第二季,普通大棚,第二季,41,羊肚菌,食用菌,0.6,1000.0,600.0,6000.0
E3,普通大棚,2025,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
E3,普通大棚,2025,第二季,普通大棚,第二季,39,香菇,食用菌,0.6,4000.0,2400.0,1200.0
E4,普通大棚,2025,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
E4,普通大棚,2025,第二季,普通大棚,第二季,40,白灵菇,食用菌,0.6,10000.0,6000.0,6000.0
E5,普通大棚,2025,第一季,普通大棚,第一季,19,芸豆,蔬菜（豆类）,0.6,3600.0,2160.0,1440.0
E5,普通大棚,2025,第二季,普通大棚,第二季,41,羊肚菌,食用菌,0.6,1000.0,600.0,6000.0
E6,普通大棚,2025,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
E6,普通大棚,2025,第二季,普通大棚,第二季,38,榆黄菇,食用菌,0.6,5000.0,3000.0,1800.0
E7,普通大棚,2025,第一季,普通大棚,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2160.0,1440.0
E7,普通大棚,2025,第二季,普通大棚,第二季,38,榆黄菇,食用菌,0.6,5000.0,3000.0,1800.0
E8,普通大棚,2025,第一季,普通大棚,第一季,19,芸豆,蔬菜（豆类）,0.6,3600.0,2160.0,1440.0
E8,普通大棚,2025,第二季,普通大棚,第二季,39,香菇,食用菌,0.6,4000.0,2400.0,1200.0
E9,普通大棚,2025,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
E9,普通大棚,2025,第二季,普通大棚,第二季,41,羊肚菌,食用菌,0.6,1000.0,600.0,6000.0
F1,智慧大棚,2025,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
F1,智慧大棚,2025,第二季,智慧大棚,第二季,34,芹菜,蔬菜,0.6,6000.0,3600.0,720.0
F2,智慧大棚,2025,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
F2,智慧大棚,2025,第二季,智慧大棚,第二季,34,芹菜,蔬菜,0.6,6000.0,3600.0,720.0
F3,智慧大棚,2025,第一季,普通大棚,第一季,19,芸豆,蔬菜（豆类）,0.6,3600.0,2160.0,1440.0
F3,智慧大棚,2025,第二季,智慧大棚,第二季,34,芹菜,蔬菜,0.6,6000.0,3600.0,720.0
F4,智慧大棚,2025,第一季,普通大棚,第一季,32,空心菜,蔬菜,0.6,12000.0,7200.0,3000.0
F4,智慧大棚,2025,第二季,智慧大棚,第二季,34,芹菜,蔬菜,0.6,6000.0,3600.0,720.0
A1,平旱地,2026,单季,平旱地,单季,1,黄豆,粮食（豆类）,80.0,400.0,32000.0,32000.0
A2,平旱地,2026,单季,平旱地,单季,1,黄豆,粮食（豆类）,55.0,400.0,22000.0,22000.0
A3,平旱地,2026,单季,平旱地,单季,2,黑豆,粮食（豆类）,35.0,500.0,17500.0,14000.0
A4,平旱地,2026,单季,平旱地,单季,4,绿豆,粮食（豆类）,72.0,350.0,25200.0,25200.0
A5,平旱地,2026,单季,平旱地,单季,3,红豆,粮食（豆类）,68.0,400.0,27200.0,23800.0
A6,平旱地,2026,单季,平旱地,单季,5,爬豆,粮食（豆类）,55.0,415.0,22825.0,19250.0
B1,梯田,2026,单季,梯田,单季,3,红豆,粮食（豆类）,60.0,380.0,22800.0,21000.0
B10,梯田,2026,单季,梯田,单季,9,高粱,粮食,25.0,600.0,15000.0,10000.0
B11,梯田,2026,单季,梯田,单季,5,爬豆,粮食（豆类）,60.0,395.0,23700.0,21000.0
B12,梯田,2026,单季,梯田,单季,10,黍子,粮食,45.0,500.0,22500.0,16200.0
B13,梯田,2026,单季,梯田,单季,4,绿豆,粮食（豆类）,35.0,330.0,11550.0,12250.0
B14,梯田,2026,单季,梯田,单季,9,高粱,粮食,20.0,600.0,12000.0,8000.0
B2,梯田,2026,单季,梯田,单季,11,荞麦,粮食,46.0,105.0,4830.0,16100.0
B3,梯田,2026,单季,梯田,单季,11,荞麦,粮食,40.0,105.0,4200.0,14000.0
B4,梯田,2026,单季,梯田,单季,5,爬豆,粮食（豆类）,28.0,395.0,11060.0,9800.0
B5,梯田,2026,单季,梯田,单季,10,黍子,粮食,25.0,500.0,12500.0,9000.0
B6,梯田,2026,单季,梯田,单季,11,荞麦,粮食,86.0,105.0,9030.0,30100.0
B7,梯田,2026,单季,梯田,单季,11,荞麦,粮食,55.0,105.0,5775.0,19250.0
B8,梯田,2026,单季,梯田,单季,4,绿豆,粮食（豆类）,44.0,330.0,14520.0,15400.0
B9,梯田,2026,单季,梯田,单季,5,爬豆,粮食（豆类）,50.0,395.0,19750.0,17500.0
C1,山坡地,2026,单季,山坡地,单季,13,红薯,粮食,15.0,2000.0,30000.0,30000.0
C2,山坡地,2026,单季,山坡地,单季,5,爬豆,粮食（豆类）,13.0,375.0,4875.0,4550.0
C3,山坡地,2026,单季,山坡地,单季,12,南瓜,粮食,15.0,2700.0,40500.0,15000.0
C4,山坡地,2026,单季,山坡地,单季,3,红豆,粮食（豆类）,18.0,360.0,6480.0,6300.0
C5,山坡地,2026,单季,山坡地,单季,5,爬豆,粮食（豆类）,27.0,375.0,10125.0,9450.0
C6,山坡地,2026,单季,山坡地,单季,4,绿豆,粮食（豆类）,20.0,315.0,6300.0,7000.0
D1,水浇地,2026,第一季,水浇地,单季,16,水稻,粮食,15.0,500.0,7500.0,10200.0
D2,水浇地,2026,第一季,水浇地,单季,16,水稻,粮食,10.0,500.0,5000.0,6800.0
D3,水浇地,2026,第一季,水浇地,单季,16,水稻,粮食,14.0,500.0,7000.0,9520.0
D4,水浇地,2026,第一季,水浇地,第一季,34,芹菜,蔬菜,6.0,5500.0,33000.0,5400.0
D4,水浇地,2026,第二季,水浇地,第二季,35,大白菜,蔬菜,6.0,5000.0,30000.0,12000.0
D5,水浇地,2026,第一季,水浇地,第一季,17,豇豆,蔬菜（豆类）,10.0,3000.0,30000.0,20000.0
D5,水浇地,2026,第二季,水浇地,第二季,35,大白菜,蔬菜,10.0,5000.0,50000.0,20000.0
D6,水浇地,2026,第一季,水浇地,第一季,34,芹菜,蔬菜,12.0,5500.0,66000.0,10800.0
D6,水浇地,2026,第二季,水浇地,第二季,37,红萝卜,蔬菜,12.0,3000.0,36000.0,6000.0
D7,水浇地,2026,第一季,水浇地,第一季,18,刀豆,蔬菜（豆类）,22.0,2000.0,44000.0,22000.0
D7,水浇地,2026,第二季,水浇地,第二季,36,白萝卜,蔬菜,22.0,4000.0,88000.0,11000.0
D8,水浇地,2026,第一季,水浇地,第一季,18,刀豆,蔬菜（豆类）,20.0,2000.0,40000.0,20000.0
D8,水浇地,2026,第二季,水浇地,第二季,35,大白菜,蔬菜,20.0,5000.0,100000.0,40000.0
E1,普通大棚,2026,第一季,普通大棚,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2160.0,1440.0
E1,普通大棚,2026,第二季,普通大棚,第二季,41,羊肚菌,食用菌,0.6,1000.0,600.0,6000.0
E10,普通大棚,2026,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
E10,普通大棚,2026,第二季,普通大棚,第二季,41,羊肚菌,食用菌,0.6,1000.0,600.0,6000.0
E11,普通大棚,2026,第一季,普通大棚,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2160.0,1440.0
E11,普通大棚,2026,第二季,普通大棚,第二季,41,羊肚菌,食用菌,0.6,1000.0,600.0,6000.0
E12,普通大棚,2026,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
E12,普通大棚,2026,第二季,普通大棚,第二季,41,羊肚菌,食用菌,0.6,1000.0,600.0,6000.0
E13,普通大棚,2026,第一季,普通大棚,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2160.0,1440.0
E13,普通大棚,2026,第二季,普通大棚,第二季,39,香菇,食用菌,0.6,4000.0,2400.0,1200.0
E14,普通大棚,2026,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
E14,普通大棚,2026,第二季,普通大棚,第二季,38,榆黄菇,食用菌,0.6,5000.0,3000.0,1800.0
E15,普通大棚,2026,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
E15,普通大棚,2026,第二季,普通大棚,第二季,41,羊肚菌,食用菌,0.6,1000.0,600.0,6000.0
E16,普通大棚,2026,第一季,普通大棚,第一季,26,包菜,蔬菜,0.6,4500.0,2700.0,2100.0
E16,普通大棚,2026,第二季,普通大棚,第二季,39,香菇,食用菌,0.6,4000.0,2400.0,1200.0
E2,普通大棚,2026,第一季,普通大棚,第一季,32,空心菜,蔬菜,0.6,12000.0,7200.0,3000.0
E2,普通大棚,2026,第二季,普通大棚,第二季,40,白灵菇,食用菌,0.6,10000.0,6000.0,6000.0
E3,普通大棚,2026,第一季,普通大棚,第一季,29,黄瓜,蔬菜,0.6,15000.0,9000.0,2100.0
E3,普通大棚,2026,第二季,普通大棚,第二季,41,羊肚菌,食用菌,0.6,1000.0,600.0,6000.0
E4,普通大棚,2026,第一季,普通大棚,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2160.0,1440.0
E4,普通大棚,2026,第二季,普通大棚,第二季,38,榆黄菇,食用菌,0.6,5000.0,3000.0,1800.0
E5,普通大棚,2026,第一季,普通大棚,第一季,19,芸豆,蔬菜（豆类）,0.6,3600.0,2160.0,1440.0
E5,普通大棚,2026,第二季,普通大棚,第二季,39,香菇,食用菌,0.6,4000.0,2400.0,1200.0
E6,普通大棚,2026,第一季,普通大棚,第一季,26,包菜,蔬菜,0.6,4500.0,2700.0,2100.0
E6,普通大棚,2026,第二季,普通大棚,第二季,40,白灵菇,食用菌,0.6,10000.0,6000.0,6000.0
E7,普通大棚,2026,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
E7,普通大棚,2026,第二季,普通大棚,第二季,38,榆黄菇,食用菌,0.6,5000.0,3000.0,1800.0
E8,普通大棚,2026,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
E8,普通大棚,2026,第二季,普通大棚,第二季,40,白灵菇,食用菌,0.6,10000.0,6000.0,6000.0
E9,普通大棚,2026,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
E9,普通大棚,2026,第二季,普通大棚,第二季,41,羊肚菌,食用菌,0.6,1000.0,600.0,6000.0
F1,智慧大棚,2026,第一季,普通大棚,第一季,19,芸豆,蔬菜（豆类）,0.6,3600.0,2160.0,1440.0
F1,智慧大棚,2026,第二季,智慧大棚,第二季,34,芹菜,蔬菜,0.6,6000.0,3600.0,720.0
F2,智慧大棚,2026,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
F2,智慧大棚,2026,第二季,智慧大棚,第二季,34,芹菜,蔬菜,0.6,6000.0,3600.0,720.0
F3,智慧大棚,2026,第一季,普通大棚,第一季,22,茄子,蔬菜,0.6,8000.0,4800.0,1440.0
F3,智慧大棚,2026,第二季,智慧大棚,第二季,34,芹菜,蔬菜,0.6,6000.0,3600.0,720.0
F4,智慧大棚,2026,第一季,普通大棚,第一季,19,芸豆,蔬菜（豆类）,0.6,3600.0,2160.0,1440.0
F4,智慧大棚,2026,第二季,智慧大棚,第二季,34,芹菜,蔬菜,0.6,6000.0,3600.0,720.0
A1,平旱地,2027,单季,平旱地,单季,4,绿豆,粮食（豆类）,80.0,350.0,28000.0,28000.0
A2,平旱地,2027,单季,平旱地,单季,3,红豆,粮食（豆类）,55.0,400.0,22000.0,19250.0
A3,平旱地,2027,单季,平旱地,单季,9,高粱,粮食,35.0,630.0,22050.0,14000.0
A4,平旱地,2027,单季,平旱地,单季,1,黄豆,粮食（豆类）,72.0,400.0,28800.0,28800.0
A5,平旱地,2027,单季,平旱地,单季,1,黄豆,粮食（豆类）,68.0,400.0,27200.0,27200.0
A6,平旱地,2027,单季,平旱地,单季,1,黄豆,粮食（豆类）,55.0,400.0,22000.0,22000.0
B1,梯田,2027,单季,梯田,单季,11,荞麦,粮食,60.0,105.0,6300.0,21000.0
B10,梯田,2027,单季,梯田,单季,3,红豆,粮食（豆类）,25.0,380.0,9500.0,8750.0
B11,梯田,2027,单季,梯田,单季,4,绿豆,粮食（豆类）,60.0,330.0,19800.0,21000.0
B12,梯田,2027,单季,梯田,单季,11,荞麦,粮食,45.0,105.0,4725.0,15750.0
